C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:59

maintype = G & redshift >0 & Distance.distance <  60 & Distance.distance  >= 50 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 801

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
589;ESO 302-27                         ;G  ;4445.1      ;0.014939    ;4478.55     ;    1;   52.24    Mpc ;  -9.17       +9.17    ;T-F     ;2020ApJ...902..145K
590;ESO 314-5                          ;G  ;5007.8      ;0.016846    ;5050.33     ;    1;   57.81    Mpc ;  -4.68       +4.68    ;T-F     ;2020ApJ...902..145K
591;NGC 1680                           ;G  ;4253        ;0.014289    ;4283.60     ;    1;   53.46    Mpc ;  -6.98       +6.98    ;T-F     ;2020ApJ...902..145K
592;NGC 2007                           ;G  ;4553.6      ;0.015306    ;4588.71     ;    1;   58.88    Mpc ;                       ;        ;2016AJ....152...50T
593;ESO 208-31                         ;G  ;3126        ;0.010481    ;3142.12     ;    1;   53.95    Mpc ;                       ;        ;2016AJ....152...50T
594;ESO 159-3                          ;G  ;3877        ;0.013016    ;3902.10     ;    1;   58.08    Mpc ;                       ;        ;2016AJ....152...50T
595;ESO 120-16                         ;G  ;3687        ;0.012375    ;3709.93     ;    1;   52.24    Mpc ;                       ;        ;2016AJ....152...50T
596;ESO 120-1                          ;G  ;5295        ;0.017822    ;5342.90     ;    1;   58.34    Mpc ;                       ;        ;2016AJ....152...50T
597;ESO 298-8                          ;G  ;5368.3      ;0.018070    ;5417.24     ;    1;   58.61    Mpc ;                       ;        ;2016AJ....152...50T
598;NGC 3482                           ;G  ;2910.7      ;0.009757    ;2924.97     ;    1;   59.98    Mpc ;                       ;        ;2016AJ....152...50T
599;2MASX J09383413-6358225            ;G  ;4523        ;0.015203    ;4557.64     ;    1;   59.98    Mpc ;                       ;        ;2016AJ....152...50T
600;ESO 90-9                           ;G  ;3298.0      ;0.011062    ;3316.34     ;    1;   56.23    Mpc ;                       ;        ;2016AJ....152...50T
601;ESO 33-22                          ;G  ;4346.2      ;0.014604    ;4378.17     ;    1;   63.10    Mpc ;                       ;        ;2016AJ....152...50T
602;ESO 265-9                          ;G  ;6302        ;0.021248    ;6369.99     ;    1;   54.70    Mpc ;                       ;        ;2016AJ....152...50T
603;ESO 215-8                          ;G  ;4720        ;0.01587     ;4758.0      ;    1;   59.16    Mpc ;                       ;        ;2016AJ....152...50T
604;ESO 61-13                          ;G  ;4659        ;0.015664    ;4695.95     ;    1;   56.75    Mpc ;                       ;        ;2016AJ....152...50T
605;IC 2160                            ;G  ;4755.2      ;0.015989    ;4793.52     ;    1;   59.43    Mpc ;                       ;        ;2016AJ....152...50T
606;ESO 36-19                          ;G  ;4655.3      ;0.015651    ;4692.01     ;    1;   51.29    Mpc ;  -5.08       +5.08    ;T-F     ;2020ApJ...902..145K
607;ESO 15-18                          ;G  ;4863        ;0.016355    ;4903.11     ;    1;   51.29    Mpc ;                       ;        ;2016AJ....152...50T
608;ESO 266-8                          ;G  ;3195        ;0.010715    ;3212.21     ;    1;   55.21    Mpc ;                       ;        ;2016AJ....152...50T
609;FRL 284                            ;G  ;5820        ;0.019606    ;5877.61     ;    1;   48.31    Mpc ;                       ;        ;2016AJ....152...50T
610;ESO 194-21                         ;G  ;3301        ;0.011072    ;3319.38     ;    1;   47.21    Mpc ;                       ;        ;2016AJ....152...50T
611;ESO 19-6                           ;G  ;3022.7      ;0.010134    ;3038.09     ;    1;   54.20    Mpc ;  -5.37       +5.37    ;T-F     ;2020ApJ...902..145K
612;ESO 7-2                            ;G  ;4535        ;0.015244    ;4570.04     ;    1;   52.00    Mpc ;                       ;        ;2016AJ....152...50T
613;ESO 8-1                            ;G  ;4477        ;0.015047    ;4510.93     ;    1;   50.12    Mpc ;                       ;        ;2016AJ....152...50T
614;ESO 12-10                          ;G  ;1935.4      ;0.006477    ;1941.69     ;    1;   48.08    Mpc ;                       ;        ;2016AJ....152...50T
615;NGC 7796                           ;G  ;3357        ;0.011261    ;3375.96     ;    1;   48.75    Mpc ;                       ;        ;2016AJ....152...50T
616;ESO 267-43                         ;G  ;4862        ;0.016352    ;4902.07     ;    1;   57.02    Mpc ;                       ;        ;2016AJ....152...50T
617;ESO 11-5                           ;G  ;2974.3      ;0.009971    ;2989.20     ;    1;   50.58    Mpc ;  -6.60       +6.60    ;T-F     ;2020ApJ...902..145K
618;2MASX J18175964-8321414            ;G  ;5017        ;0.01688     ;5060.0      ;    1;   56.23    Mpc ;                       ;        ;2016AJ....152...50T
619;ESO 48-2                           ;G  ;3927.2      ;0.013187    ;3953.26     ;    1;   57.5     Mpc ;                       ;redshift;2006ApJS..165..307M
620;ESO 268-22                         ;G  ;4963        ;0.01669     ;5005.0      ;    1;   52.00    Mpc ;                       ;        ;2016AJ....152...50T
621;ESO 42-8                           ;G  ;5123        ;0.01724     ;5168.0      ;    1;   59.70    Mpc ;                       ;        ;2016AJ....152...50T
622;IC 4484                            ;G  ;4469.7      ;0.015022    ;4503.52     ;    1;   51.52    Mpc ;                       ;        ;2016AJ....152...50T
623;NGC 6932                           ;G  ;3683        ;0.012362    ;3706.03     ;    1;   45.29    Mpc ;                       ;        ;2016AJ....152...50T
624;IC 5220                            ;G  ;4845        ;0.016294    ;4884.79     ;    1;   55.46    Mpc ;                       ;        ;2016AJ....152...50T
625;IC 4541                            ;G  ;4604        ;0.015477    ;4639.90     ;    1;   58.88    Mpc ;  -4.50       +4.50    ;T-F     ;2020ApJ...902..145K
626;ESO 146-6                          ;G  ;4590.8      ;0.015432    ;4626.49     ;    1;   53.95    Mpc ;                       ;        ;2016AJ....152...50T
627;ESO 238-26                         ;G  ;5428        ;0.018273    ;5478.11     ;    1;   55.46    Mpc ;                       ;        ;2016AJ....152...50T
628;FRL 165                            ;G  ;4168        ;0.014000    ;4197.09     ;    1;   59.43    Mpc ;                       ;        ;2016AJ....152...50T
629;ESO 144-10                         ;G  ;4275        ;0.014363    ;4305.92     ;    1;   49.89    Mpc ;                       ;        ;2016AJ....152...50T
630;NGC 6492                           ;G  ;4334        ;0.014563    ;4365.79     ;    1;   58.88    Mpc ;  -6.09       +6.09    ;T-F     ;2020ApJ...902..145K
631;IC 4758                            ;G  ;4486        ;0.015077    ;4520.07     ;    1;   48.31    Mpc ;  -8.26       +8.26    ;T-F     ;2020ApJ...902..145K
632;LEDA 59108                         ;G  ;4459        ;0.014987    ;4492.99     ;    1;   58.34    Mpc ;                       ;        ;2016AJ....152...50T
633;NGC 7118                           ;G  ;5086        ;0.017112    ;5130.05     ;    1;   56.75    Mpc ;                       ;        ;2016AJ....152...50T
634;ESO 139-16                         ;G  ;5331        ;0.017942    ;5378.88     ;    1;   55.72    Mpc ;                       ;        ;2016AJ....152...50T
635;ESO 140-21                         ;G  ;4643        ;0.015609    ;4679.52     ;    1;   58.88    Mpc ;                       ;        ;2016AJ....152...50T
636;6dFGS gJ182734.0-610048            ;G  ;5928        ;0.01997     ;5988.0      ;    1;   59.70    Mpc ;                       ;        ;2016AJ....152...50T
637;IC 4785                            ;G  ;3643.5      ;0.012228    ;3665.91     ;    1;   47.21    Mpc ;  -5.10       +5.10    ;T-F     ;2020ApJ...902..145K
638;IC 4919                            ;G  ;4266.6      ;0.014335    ;4297.40     ;    1;   52.00    Mpc ;                       ;        ;2016AJ....152...50T
639;IC 4950                            ;G  ;4315        ;0.014497    ;4346.09     ;    1;   56.23    Mpc ;                       ;        ;2016AJ....152...50T
640;ESO 186-75                         ;G  ;4358        ;0.014644    ;4390.14     ;    1;   54.70    Mpc ;                       ;        ;2016AJ....152...50T
641;ESO 236-18                         ;G  ;6977        ;0.023550    ;7060.11     ;    1;   57.28    Mpc ;                       ;        ;2016AJ....152...50T
642;NGC 6799                           ;G  ;3388.1      ;0.011366    ;3407.46     ;    1;   48.53    Mpc ;                       ;        ;2016AJ....152...50T
643;ESO 234-53                         ;G  ;6197        ;0.020888    ;6262.06     ;    1;   50.58    Mpc ;                       ;        ;2016AJ....152...50T
644;ESO 182-17                         ;G  ;4624        ;0.015544    ;4659.97     ;    1;   51.76    Mpc ;                       ;        ;2016AJ....152...50T
645;ESO 231-6                          ;G  ;4780.0      ;0.016074    ;4818.72     ;    1;   58.88    Mpc ;                       ;        ;2016AJ....152...50T
646;ESO 232-11                         ;G  ;5128        ;0.017255    ;5172.92     ;    1;   52.24    Mpc ;                       ;        ;2016AJ....152...50T
647;ESO 386-7                          ;G  ;4309        ;0.0145      ;4340        ;    1;   54.70    Mpc ;  -5.91       +5.91    ;T-F     ;2020ApJ...902..145K
648;ESO 328-19                         ;G  ;4624        ;0.01554     ;4660.0      ;    1;   56.23    Mpc ;                       ;        ;2016AJ....152...50T
649;ESO 231-29                         ;G  ;4880        ;0.016413    ;4920.37     ;    1;   54.70    Mpc ;                       ;        ;2016AJ....152...50T
650;ESO 386-46                         ;G  ;2970        ;0.009956    ;2984.86     ;    1;   52.97    Mpc ; -10.96      +10.96    ;T-F     ;2020ApJ...902..145K
651;ESO 387-5                          ;G  ;7283        ;0.02460     ;7374.0      ;    1;   58.08    Mpc ;                       ;        ;2016AJ....152...50T
652;ESO 329-7                          ;G  ;4654        ;0.015646    ;4690.69     ;    1;   50.35    Mpc ;  -4.08       +4.08    ;T-F     ;2020ApJ...902..145K
653;IC 4808                            ;G  ;5084.3      ;0.017106    ;5128.15     ;    1;   57.81    Mpc ;                       ;        ;2016AJ....152...50T
654;SINGG HIPASS J0209-10              ;G  ;3907.2      ;0.013119    ;3933.00     ;    1;   54.3     Mpc ;                       ;redshift;2006ApJS..165..307M
655;IC 694                             ;G  ;3931        ;0.0132      ;3957        ;    1;   52.6     Mpc ;                       ;T-F     ;2011PASP..123.1011A
656;SDSS J085759.72-002436.6           ;G  ;3324        ;0.01115     ;3342.7      ;    1;   51.38    Mpc ;  -1.93       +1.93    ;redshift;2015ApJ...809..146B
657;LEDA 1272741                       ;G  ;5774        ;0.01945     ;5831.0      ;    1;   53.21    Mpc ;  -5.03       +5.03    ;T-F     ;2020ApJ...902..145K
658;Mrk 1233                           ;G  ;4895.0      ;0.016463    ;4935.62     ;    1;   58.88    Mpc ; -13.51      +13.51    ;T-F     ;2020ApJ...902..145K
659;2MASX J16062119-6743237            ;G  ;4708        ;0.01583     ;4746.0      ;    1;   55.21    Mpc ;                       ;        ;2016AJ....152...50T
660;LEDA 1210567                       ;G  ;19303       ;0.0666      ;19966       ;    1;   61.66    Mpc ;  -9.43       +9.43    ;T-F     ;2020ApJ...902..145K
661;LEDA 1802210                       ;G  ;3704        ;0.012432    ;3727.17     ;    1;   52.97    Mpc ;  -4.29       +4.29    ;T-F     ;2020ApJ...902..145K
662;AGC 112516                         ;G  ;3820        ;0.012824    ;3844.65     ;    1;   52.1     Mpc ;                       ;        ;2008AJ....135..588S
663;LEDA 5057058                       ;G  ;2512        ;0.008415    ;2522.61     ;    1;   58.08    Mpc ;  -4.70       +4.70    ;T-F     ;2020ApJ...902..145K
664;2MFGC 3182                         ;G  ;3830        ;0.01286     ;3855.0      ;    1;   55.46    Mpc ;                       ;        ;2016AJ....152...50T
665;2MFGC 5184                         ;G  ;2930.9      ;0.009825    ;2945.37     ;    1;   53.70    Mpc ;  -3.62       +3.62    ;T-F     ;2020ApJ...902..145K
666;LEDA 3460719                       ;G  ;5335        ;0.017957    ;5383.33     ;    1;   50.58    Mpc ; -10.24      +10.24    ;T-F     ;2020ApJ...902..145K
667;2MFGC 15594                        ;G  ;3406        ;0.0114      ;3426        ;    1;   59.43    Mpc ;  -7.22       +7.22    ;T-F     ;2020ApJ...902..145K
668;SDSS J004751.85-111029.6           ;G  ;3967        ;0.01332     ;3993.2      ;    1;   56.72    Mpc ;  -1.82       +1.82    ;redshift;2015ApJ...809..146B
669;LEDA 1001181                       ;G  ;3916        ;0.01315     ;3942.3      ;    1;   55.77    Mpc ;  -1.57       +1.57    ;redshift;2015ApJ...809..146B
670;LEDA 4126669                       ;G  ;5398        ;0.018171    ;5447.48     ;    1;   53.70    Mpc ;  -4.59       +4.59    ;T-F     ;2020ApJ...902..145K
671;UGC 5299                           ;G  ;2926        ;0.009808    ;2940.42     ;    1;   57.28    Mpc ;  -6.44       +6.44    ;T-F     ;2020ApJ...902..145K
672;2MASX J05013981-0915530            ;G  ;3776        ;0.01268     ;3800.0      ;    1;   83.18    Mpc ;                       ;        ;2016AJ....152...50T
673;2MASX J06460300-7329579            ;G  ;4820        ;0.01621     ;4859.0      ;    1;   53.95    Mpc ;                       ;        ;2016AJ....152...50T
674;MCG-02-22-005                      ;G  ;4603        ;0.015474    ;4638.89     ;    1;   57.54    Mpc ;  -4.40       +4.40    ;T-F     ;2020ApJ...902..145K
675;2MASX J08574836-1909193            ;G  ;4523        ;0.01520     ;4558.0      ;    1;   53.21    Mpc ;                       ;        ;2016AJ....152...50T
676;2MASX J09232130-7135368            ;G  ;4956        ;0.01667     ;4998.0      ;    1;   55.21    Mpc ;                       ;        ;2016AJ....152...50T
677;2MASX J09590546-1340088            ;G  ;4139        ;0.01390     ;4168.0      ;    1;   55.72    Mpc ;                       ;        ;2016AJ....152...50T
678;2MASX J10184420-3641149            ;G  ;4422        ;0.01486     ;4455.0      ;    1;   52.48    Mpc ;                       ;        ;2016AJ....152...50T
679;2MASX J11174323-0354409            ;G  ;5078        ;0.01709     ;5122.0      ;    1;   54.70    Mpc ;                       ;        ;2016AJ....152...50T
680;2MASX J20144323-0700345            ;G  ;4372        ;0.01469     ;4404.0      ;    1;   81.66    Mpc ;                       ;        ;2016AJ....152...50T
681;ESO 443-10                         ;G  ;3147        ;0.010553    ;3163.69     ;    1;   54.70    Mpc ;                       ;        ;2016AJ....152...50T
682;ESO 602-11                         ;G  ;4919        ;0.016545    ;4960.03     ;    1;   59.70    Mpc ; -11.02      +11.02    ;T-F     ;2020ApJ...902..145K
683;LEDA 5060154                       ;G  ;3795        ;0.01274     ;3819.4      ;    1;   59.70    Mpc ;  -5.10       +5.10    ;T-F     ;2020ApJ...902..145K
684;SDSS J114444.05+150140.0           ;G  ;3356        ;0.011258    ;3375.00     ;    1;   50.4     Mpc ;                       ;        ;2007AJ....133.2569G
685;SDSS J114750.73+134215.2           ;G  ;3456        ;0.011595    ;3476.15     ;    1;   51.9     Mpc ;                       ;        ;2007AJ....133.2569G
686;LEDA 1415034                       ;G  ;4011        ;0.01347     ;4038.2      ;    1;   58.9     Mpc ;                       ;        ;2007AJ....133.2569G
687;SDSS J121019.56+131844.8           ;G  ;4032        ;0.013541    ;4059.48     ;    1;   59.9     Mpc ;                       ;        ;2007AJ....133.2569G
688;SDSS J124011.52+154213.8           ;G  ;3890        ;0.01306     ;3915.3      ;    1;   62.91    Mpc ;  -2.61       +2.61    ;redshift;2015ApJ...809..146B
689;SDSS J130905.44+134819.1           ;G  ;3344        ;0.011217    ;3362.86     ;    1;   50.2     Mpc ;                       ;        ;2007AJ....133.2569G
690;SDSS J131011.68+135116.1           ;G  ;3349        ;0.011234    ;3367.92     ;    1;   50.2     Mpc ;                       ;        ;2007AJ....133.2569G
691;SDSS J131125.69+153149.9           ;G  ;3474        ;0.011656    ;3494.36     ;    1;   52.1     Mpc ;                       ;        ;2007AJ....133.2569G
692;SDSS J131229.93+151915.7           ;G  ;3470        ;0.011642    ;3490.32     ;    1;   52.0     Mpc ;                       ;        ;2007AJ....133.2569G
693;SDSS J131343.75+124616.8           ;G  ;3381        ;0.011342    ;3400.28     ;    1;   50.6     Mpc ;                       ;        ;2007AJ....133.2569G
694;LEDA 4720565                       ;G  ;1249        ;0.004175    ;1251.61     ;    1;   51.52    Mpc ;  -6.72       +6.72    ;T-F     ;2020ApJ...902..145K
695;LEDA 5057374                       ;G  ;4367        ;0.014674    ;4399.27     ;    1;   59.98    Mpc ; -17.27      +17.27    ;T-F     ;2020ApJ...902..145K
696;AGC 321217                         ;G  ;3572        ;0.011987    ;3593.54     ;    1;   53.4     Mpc ;                       ;        ;2008AJ....135..588S
697;LEDA 5057376                       ;G  ;3584        ;0.012027    ;3605.68     ;    1;   53.5     Mpc ;                       ;        ;2008AJ....135..588S
698;LEDA 1762904                       ;G  ;3564        ;0.011960    ;3585.44     ;    1;   51.5     Mpc ;                       ;        ;2008AJ....135..588S
699;ALFALFA 2-379                      ;G  ;3636        ;0.012204    ;3658.80     ;    1;   52.6     Mpc ;                       ;        ;2008AJ....135..588S
